Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (12413031),James Harden,12413031,PG/SG/G/UTIL,11500,HOU@OKC 04/09/2019 09:30PM ET,HOU,62.09
PG,Russell Westbrook (12413035),Russell Westbrook,12413035,PG/G/UTIL,11400,HOU@OKC 04/09/2019 09:30PM ET,OKC,58.72
C,Joel Embiid (12413038),Joel Embiid,12413038,C/UTIL,10500,PHI@MIA 04/09/2019 07:30PM ET,PHI,55.57
SF/PF,Paul George (12413040),Paul George,12413040,SF/PF/F/UTIL,9900,HOU@OKC 04/09/2019 09:30PM ET,OKC,50.79
C,Karl-Anthony Towns (12413044),Karl-Anthony Towns,12413044,C/UTIL,9700,TOR@MIN 04/09/2019 08:00PM ET,MIN,50.35
C,Andre Drummond (12413046),Andre Drummond,12413046,C/UTIL,9600,MEM@DET 04/09/2019 07:00PM ET,DET,45.92
PG/SG,Luka Doncic (12413048),Luka Doncic,12413048,PG/SG/G/UTIL,9500,PHO@DAL 04/09/2019 08:30PM ET,DAL,42.69
C,Nikola Jokic (12413052),Nikola Jokic,12413052,C/UTIL,9400,DEN@UTA 04/09/2019 09:00PM ET,DEN,49.34
PG,Damian Lillard (12413054),Damian Lillard,12413054,PG/G/UTIL,9300,POR@LAL 04/09/2019 10:30PM ET,POR,45.42
PG,Kemba Walker (12413057),Kemba Walker,12413057,PG/G/UTIL,9100,CHA@CLE 04/09/2019 07:00PM ET,CHA,43.68
PG/SG,Stephen Curry (12413060),Stephen Curry,12413060,PG/SG/G/UTIL,9000,GS@NO 04/09/2019 08:00PM ET,GS,47
C,Rudy Gobert (12413064),Rudy Gobert,12413064,C/UTIL,8900,DEN@UTA 04/09/2019 09:00PM ET,UTA,41.57
PG/SG,Donovan Mitchell (12413066),Donovan Mitchell,12413066,PG/SG/G/UTIL,8800,DEN@UTA 04/09/2019 09:00PM ET,UTA,38.19
PG/SF,Ben Simmons (12413070),Ben Simmons,12413070,PG/SF/F/G/UTIL,8700,PHI@MIA 04/09/2019 07:30PM ET,PHI,43.6
