slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
jamesle01,LeBron James,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,1688,9,15,4,6,5,9,0,4,5,3,0,2,4,22.6
irvinky01,Kyrie Irving,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,1360,5,9,4,5,5,6,0,2,6,1,0,1,2,18.3
smithjr01,J.R. Smith,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,1708,8,14,7,13,0,0,0,2,0,2,0,0,2,18.2
millspa01,Paul Millsap,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,1608,4,8,1,2,7,8,3,8,1,1,1,3,3,14.3
humphkr01,Kris Humphries,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,921,4,8,0,1,4,4,3,6,1,1,0,0,1,13.2
fryech01,Channing Frye,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,1211,5,7,1,3,1,2,1,4,2,1,0,0,1,12.6
loveke01,Kevin Love,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,1589,3,12,3,4,2,2,6,7,2,0,0,1,1,10.1
teaguje01,Jeff Teague,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,1382,3,10,0,2,8,9,0,3,6,0,0,2,3,9.7
sefolth01,Thabo Sefolosha,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,1072,4,4,2,2,0,0,0,2,2,0,0,1,1,9.4
muscami01,Mike Muscala,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,863,4,5,2,2,0,0,1,0,0,0,0,0,1,8.4
shumpim01,Iman Shumpert,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,1115,3,3,1,1,0,0,0,2,3,0,0,0,2,8.0
jefferi01,Richard Jefferson,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,1463,3,3,2,2,0,0,0,2,3,0,0,2,2,7.0
horfoal01,Al Horford,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,1498,3,7,2,3,2,2,0,3,1,0,1,2,2,5.8
thomptr01,Tristan Thompson,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,1159,1,5,0,0,3,4,4,3,0,0,1,1,3,3.7
dellama01,Matthew Dellavedova,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,800,1,7,1,3,0,0,1,1,6,0,0,0,1,3.3
willima01,Mo Williams,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,720,2,5,1,4,0,0,0,1,0,1,0,0,2,2.8
scottmi01,Mike Scott,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,1133,0,0,0,0,2,2,0,3,1,0,1,1,2,2.5
korveky01,Kyle Korver,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,1170,3,7,1,2,0,0,0,1,0,0,0,0,3,2.4
jonesda02,Dahntay Jones,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,356,1,2,1,2,0,0,0,1,0,0,0,0,0,2.3
schrode01,Dennis Schroder,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,835,2,5,1,3,0,0,1,0,3,0,0,2,3,1.9
hinriki01,Kirk Hinrich,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,720,1,4,1,2,0,0,0,2,0,0,0,0,2,0.4
bazemke01,Kent Bazemore,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,1614,1,7,0,3,3,3,0,1,1,0,0,1,1,0.1
hardati02,Tim Hardaway,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,1058,1,5,1,4,1,2,0,2,1,0,0,2,0,-0.2
pattela01,Lamar Patterson,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,526,0,1,0,1,0,0,0,1,1,1,0,2,1,-1.1
mozgoti01,Timofey Mozgov,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,771,0,1,0,0,0,0,0,1,0,0,0,0,2,-1.2
jonesja02,James Jones,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,460,0,4,0,2,0,0,0,1,0,0,0,1,0,-3.5
