slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
abrinal01,Alex Abrines,SHOOTING GUARD,25,OKLAHOMA CITY THUNDER,31,2,588,56,157,41,127,12,13,5,43,20,17,6,14,53
acyqu01,Quincy Acy,POWER FORWARD,28,PHOENIX SUNS,10,0,123,4,18,2,15,7,10,3,22,8,1,4,4,24
adamsja01,Jaylen Adams,POINT GUARD,22,ATLANTA HAWKS,31,0,370,32,96,23,69,6,8,11,40,57,9,4,22,40
adamsst01,Steven Adams,CENTER,25,OKLAHOMA CITY THUNDER,76,76,2569,466,779,0,2,142,284,371,354,122,116,73,130,192
adebaba01,Bam Adebayo,CENTER,21,MIAMI HEAT,78,25,1809,262,455,2,13,159,216,160,405,180,64,63,115,197
adelde01,Deng Adel,SMALL FORWARD,21,CLEVELAND CAVALIERS,16,3,185,10,34,5,21,2,2,2,15,5,1,4,5,12
akoonde01,DeVaughn Akoon-Purcell,SHOOTING GUARD,25,DENVER NUGGETS,7,0,22,3,10,0,4,1,2,1,3,6,2,0,2,4
aldrila01,LaMarcus Aldridge,CENTER,33,SAN ANTONIO SPURS,78,78,2594,653,1267,10,40,335,396,235,473,189,41,105,141,174
alkinra01,Rawle Alkins,SHOOTING GUARD,21,CHICAGO BULLS,7,0,68,8,25,2,9,5,7,9,10,9,1,0,5,4
allengr01,Grayson Allen,SHOOTING GUARD,23,UTAH JAZZ,34,1,321,44,127,24,79,29,42,1,13,18,4,4,23,36
allenja01,Jarrett Allen,CENTER,20,BROOKLYN NETS,77,77,2034,325,550,6,44,194,274,186,458,108,42,117,100,180
allenka01,Kadeem Allen,SHOOTING GUARD,26,NEW YORK KNICKS,18,1,387,62,131,15,33,37,46,8,38,68,14,3,26,45
aminual01,Al-Farouq Aminu,POWER FORWARD,28,PORTLAND TRAIL BLAZERS,78,78,2215,246,565,93,267,140,162,106,474,101,65,31,69,142
anderju01,Justin Anderson,SMALL FORWARD,25,ATLANTA HAWKS,45,3,405,59,142,20,67,20,29,24,53,19,19,13,20,41
anderky01,Kyle Anderson,SMALL FORWARD,25,MEMPHIS GRIZZLIES,43,40,1281,150,276,9,34,37,64,48,203,128,54,37,58,112
anderry01,Ryan Anderson,POWER FORWARD,30,PHOENIX SUNS,15,8,278,19,60,7,34,11,14,14,31,17,3,1,12,23
anderry01,Ryan Anderson,POWER FORWARD,30,MIAMI HEAT,9,0,43,2,9,2,6,1,2,4,5,2,1,0,2,2
anigbik01,Ike Anigbogu,CENTER,20,INDIANA PACERS,3,0,6,0,3,0,0,0,0,1,2,1,0,1,1,0
antetgi01,Giannis Antetokounmpo,POWER FORWARD,24,MILWAUKEE BUCKS,70,70,2299,698,1210,47,191,476,653,156,720,415,91,102,267,230
antetko01,Kostas Antetokounmpo,POWER FORWARD,21,DALLAS MAVERICKS,2,0,11,0,3,0,0,2,4,0,1,0,2,0,1,0
anthoca01,Carmelo Anthony,POWER FORWARD,34,HOUSTON ROCKETS,10,2,294,49,121,21,64,15,22,9,45,5,4,7,8,32
anunoog01,OG Anunoby,SMALL FORWARD,21,TORONTO RAPTORS,64,6,1301,178,390,66,195,34,60,56,134,44,44,22,51,137
arcidry01,Ryan Arcidiacono,POINT GUARD,24,CHICAGO BULLS,78,30,1881,176,392,78,208,79,91,25,180,258,62,4,61,165
arizatr01,Trevor Ariza,SMALL FORWARD,33,PHOENIX SUNS,26,26,884,86,227,50,139,36,43,16,129,87,38,8,39,44
arizatr01,Trevor Ariza,SMALL FORWARD,33,WASHINGTON WIZARDS,43,43,1465,208,509,95,295,94,121,34,192,165,53,13,67,86
augusdj01,D.J. Augustin,POINT GUARD,31,ORLANDO MAGIC,78,78,2179,302,644,126,300,176,203,40,149,405,49,4,120,110
aytonde01,Deandre Ayton,CENTER,20,PHOENIX SUNS,71,70,2183,509,870,0,4,141,189,223,506,125,61,67,126,209
bacondw01,Dwayne Bacon,SHOOTING GUARD,23,CHARLOTTE HORNETS,39,9,632,99,210,33,70,33,45,7,74,39,10,5,17,61
baglema01,Marvin Bagley,POWER FORWARD,19,SACRAMENTO KINGS,58,3,1455,329,641,26,84,172,247,150,278,59,32,57,91,114
bakerro01,Ron Baker,SHOOTING GUARD,25,NEW YORK KNICKS,11,0,107,4,16,1,9,5,6,1,6,13,5,0,3,16
bakerro01,Ron Baker,SHOOTING GUARD,25,WASHINGTON WIZARDS,4,0,45,0,4,0,4,0,0,0,4,2,1,1,2,2
baldwwa01,Wade Baldwin,POINT GUARD,22,PORTLAND TRAIL BLAZERS,16,0,94,10,33,2,9,8,11,2,13,12,1,2,14,11
balllo01,Lonzo Ball,POINT GUARD,21,LOS ANGELES LAKERS,47,45,1423,185,456,75,228,20,48,54,197,255,69,19,103,114
bambamo01,Mohamed Bamba,CENTER,20,ORLANDO MAGIC,47,1,766,117,243,21,70,37,63,64,169,39,13,64,43,102
bareajo01,J.J. Barea,POINT GUARD,34,DALLAS MAVERICKS,38,0,752,161,385,38,128,55,78,13,82,211,22,1,72,50
barneha02,Harrison Barnes,POWER FORWARD,26,DALLAS MAVERICKS,49,49,1584,290,717,121,311,165,198,36,171,62,33,11,68,79
barneha02,Harrison Barnes,SMALL FORWARD,26,SACRAMENTO KINGS,24,24,837,123,271,45,114,53,65,19,117,46,16,1,28,41
bartowi01,Will Barton,SHOOTING GUARD,28,DENVER NUGGETS,39,34,1090,176,431,65,184,54,69,31,150,115,17,20,62,79
bateske01,Keita Bates-Diop,SMALL FORWARD,23,MINNESOTA TIMBERWOLVES,26,3,417,49,116,11,43,15,24,12,52,13,14,12,9,25
batumni01,Nicolas Batum,SMALL FORWARD,30,CHARLOTTE HORNETS,71,69,2268,251,556,114,293,77,89,70,307,239,70,42,115,134
bayleje01,Jerryd Bayless,POINT GUARD,30,MINNESOTA TIMBERWOLVES,33,6,640,80,225,28,97,16,28,11,49,114,18,2,30,53
baynear01,Aron Baynes,CENTER,32,BOSTON CELTICS,49,16,780,98,211,20,59,53,62,83,142,52,11,32,39,122
bazemke01,Kent Bazemore,SHOOTING GUARD,29,ATLANTA HAWKS,65,35,1601,272,669,91,287,125,171,37,220,148,89,42,119,165
bealbr01,Bradley Beal,SHOOTING GUARD,25,WASHINGTON WIZARDS,79,79,2957,744,1562,203,580,354,439,87,314,434,120,58,221,224
beaslma01,Malik Beasley,SHOOTING GUARD,22,DENVER NUGGETS,77,18,1789,327,693,154,384,53,60,33,162,92,50,9,53,113
beaslmi01,Michael Beasley,POWER FORWARD,30,LOS ANGELES LAKERS,26,2,277,75,153,3,17,28,39,13,47,25,9,10,27,42
belinma01,Marco Belinelli,SHOOTING GUARD,32,SAN ANTONIO SPURS,77,1,1784,284,681,147,392,112,124,16,180,130,35,8,71,119
belljo01,Jordan Bell,CENTER,24,GOLDEN STATE WARRIORS,63,2,715,84,167,0,2,22,37,49,116,68,20,47,37,76
bembrde01,DeAndre' Bembry,SHOOTING GUARD,24,ATLANTA HAWKS,79,15,1859,260,584,50,169,79,126,49,289,194,100,41,136,178
bendedr01,Dragan Bender,POWER FORWARD,21,PHOENIX SUNS,43,24,716,73,164,20,90,22,36,28,126,44,16,14,32,77
bertada02,Dairis Bertans,SHOOTING GUARD,29,NEW ORLEANS PELICANS,9,0,106,9,31,7,24,0,0,2,4,6,1,0,2,5
bertada01,Davis Bertans,POWER FORWARD,26,SAN ANTONIO SPURS,73,12,1573,192,429,139,322,50,57,23,233,96,34,33,40,132
beverpa01,Patrick Beverley,POINT GUARD,30,LOS ANGELES CLIPPERS,77,48,2115,189,468,108,275,96,123,76,306,294,66,43,84,261
birchkh01,Khem Birch,CENTER,26,ORLANDO MAGIC,47,0,592,84,138,0,1,57,81,75,104,35,17,27,19,65
biyombi01,Bismack Biyombo,CENTER,26,CHARLOTTE HORNETS,50,28,710,83,144,0,0,53,81,75,152,28,11,41,30,96
bjeline01,Nemanja Bjelica,POWER FORWARD,30,SACRAMENTO KINGS,73,66,1704,268,560,96,239,64,85,124,315,142,52,56,82,189
blakean01,Antonio Blakeney,SHOOTING GUARD,22,CHICAGO BULLS,56,3,815,163,390,36,90,49,74,7,98,39,11,9,35,40
bledser01,Eric Bledsoe,POINT GUARD,29,MILWAUKEE BUCKS,75,75,2212,454,944,119,366,173,229,79,274,414,112,28,160,152
blossja01,Jaron Blossomgame,SMALL FORWARD,25,CLEVELAND CAVALIERS,27,4,439,47,106,10,39,10,13,26,72,13,7,8,11,20
bogdabo01,Bogdan Bogdanovic,SHOOTING GUARD,26,SACRAMENTO KINGS,66,17,1839,339,812,123,344,130,157,37,193,256,69,15,112,140
bogdabo02,Bojan Bogdanovic,SMALL FORWARD,29,INDIANA PACERS,79,79,2519,516,1032,162,379,243,301,33,293,157,68,1,132,137
bogutan01,Andrew Bogut,CENTER,34,GOLDEN STATE WARRIORS,8,3,88,14,28,0,0,3,3,8,31,10,1,4,3,14
boldejo01,Jonah Bolden,POWER FORWARD,23,PHILADELPHIA 76ERS,41,9,581,74,147,29,86,13,27,46,108,37,17,38,35,93
bongais01,Isaac Bonga,POINT GUARD,19,LOS ANGELES LAKERS,18,0,70,4,24,0,6,6,9,5,12,9,6,1,4,5
bookede01,Devin Booker,SHOOTING GUARD,22,PHOENIX SUNS,64,64,2242,586,1255,135,414,393,454,39,226,433,56,13,264,200
bouchch01,Chris Boucher,POWER FORWARD,26,TORONTO RAPTORS,27,0,139,27,66,11,34,13,15,15,28,0,6,22,5,29
bradlav01,Avery Bradley,SHOOTING GUARD,28,LOS ANGELES CLIPPERS,49,49,1463,161,420,58,172,20,25,35,96,96,27,16,61,133
bradlav01,Avery Bradley,SHOOTING GUARD,28,MEMPHIS GRIZZLIES,14,14,442,87,188,28,73,23,25,8,36,56,14,0,28,34
bradlto01,Tony Bradley,CENTER,21,UTAH JAZZ,1,0,9,0,3,0,0,0,0,2,1,0,0,0,1,1
breweco01,Corey Brewer,SMALL FORWARD,32,PHILADELPHIA 76ERS,7,3,140,20,49,4,14,9,13,4,13,10,12,2,8,16
breweco01,Corey Brewer,SMALL FORWARD,32,SACRAMENTO KINGS,20,0,286,31,66,10,29,22,30,16,33,23,12,5,7,40
bridgmi01,Mikal Bridges,SMALL FORWARD,22,PHOENIX SUNS,79,53,2294,229,533,102,303,86,108,54,199,167,125,37,70,196
bridgmi02,Miles Bridges,SMALL FORWARD,20,CHARLOTTE HORNETS,76,21,1562,216,473,59,184,53,71,61,241,78,51,42,48,110
briscis01,Isaiah Briscoe,POINT GUARD,22,ORLANDO MAGIC,39,0,559,55,138,11,34,15,26,5,69,87,11,2,31,66
broekry01,Ryan Broekhoff,SHOOTING GUARD,28,DALLAS MAVERICKS,38,0,384,51,109,34,81,11,13,5,48,19,4,4,11,30
brogdma01,Malcolm Brogdon,SHOOTING GUARD,26,MILWAUKEE BUCKS,64,64,1832,378,748,104,244,141,152,65,223,205,46,13,91,102
