roto_name,name,team,date
DeAndre Bembry,DeAndre' Bembry,ATLANTA HAWKS,82
Louis Williams,Lou Williams,LOS ANGELES CLIPPERS,81
C.J. McCollum,CJ McCollum,PORTLAND TRAIL BLAZERS,79
Wes Iwundu,Wesley Iwundu,ORLANDO MAGIC,73
Ishmael Smith,Ish Smith,DETROIT PISTONS,60
TJ Leaf,T.J. Leaf,INDIANA PACERS,59
Guillermo Hernangomez,Willy Hernangomez,CHARLOTTE HORNETS,58
Taurean Prince,Taurean Waller-Prince,ATLANTA HAWKS,55
Troy Brown Jr.,Troy Brown,WASHINGTON WIZARDS,52
Glenn Robinson III,Glenn Robinson,DETROIT PISTONS,50
Tim Hardaway Jr.,Tim Hardaway,NEW YORK KNICKS,46
Wendell Carter Jr.,Wendell Carter,CHICAGO BULLS,44
Wes Matthews,Wesley Matthews,DALLAS MAVERICKS,44
Jose Barea,J.J. Barea,DALLAS MAVERICKS,38
Frank Mason III,Frank Mason,SACRAMENTO KINGS,38
Dennis Smith Jr.,Dennis Smith,DALLAS MAVERICKS,32
Jacob Evans III,Jacob Evans,GOLDEN STATE WARRIORS,32
Timothe Luwawu,Timothe Luwawu-Cabarrot,CHICAGO BULLS,29
Wes Matthews,Wesley Matthews,INDIANA PACERS,27
Dennis Smith Jr.,Dennis Smith,NEW YORK KNICKS,21
Timothe Luwawu,Timothe Luwawu-Cabarrot,OKLAHOMA CITY THUNDER,21
Tim Hardaway Jr.,Tim Hardaway,DALLAS MAVERICKS,19
Gary Trent Jr.,Gary Trent,PORTLAND TRAIL BLAZERS,15
Nazareth Mitrou-Long,Naz Mitrou-Long,UTAH JAZZ,14
,Andre Drummond,DETROIT PISTONS,8
,Blake Griffin,DETROIT PISTONS,8
,Langston Galloway,DETROIT PISTONS,8
,Reggie Jackson,DETROIT PISTONS,8
,Zaza Pachulia,DETROIT PISTONS,7
,Walt Lemon,CHICAGO BULLS,6
,Bruce Brown,DETROIT PISTONS,6
,Jose Calderon,DETROIT PISTONS,6
,Brook Lopez,MILWAUKEE BUCKS,6
,Sterling Brown,MILWAUKEE BUCKS,6
,Damyean Dotson,NEW YORK KNICKS,6
,Emmanuel Mudiay,NEW YORK KNICKS,6
,Kevin Knox,NEW YORK KNICKS,6
,Mitchell Robinson,NEW YORK KNICKS,6
,Luke Kennard,DETROIT PISTONS,5
,Stanley Johnson,DETROIT PISTONS,5
,Montrezl Harrell,LOS ANGELES CLIPPERS,5
,Patrick Beverley,LOS ANGELES CLIPPERS,5
,Shai Gilgeous-Alexander,LOS ANGELES CLIPPERS,5
,Eric Bledsoe,MILWAUKEE BUCKS,5
,Giannis Antetokounmpo,MILWAUKEE BUCKS,5
,Khris Middleton,MILWAUKEE BUCKS,5
,Malcolm Brogdon,MILWAUKEE BUCKS,5
,Tony Snell,MILWAUKEE BUCKS,5
,Allonzo Trier,NEW YORK KNICKS,5
,Mario Hezonja,NEW YORK KNICKS,5
,Kemba Walker,CHARLOTTE HORNETS,4
,Marvin Williams,CHARLOTTE HORNETS,4
,Miles Bridges,CHARLOTTE HORNETS,4
,Jon Leuer,DETROIT PISTONS,4
,Reggie Bullock,DETROIT PISTONS,4
,Danilo Gallinari,LOS ANGELES CLIPPERS,4
,Sindarius Thornwell,LOS ANGELES CLIPPERS,4
,D.J. Wilson,MILWAUKEE BUCKS,4
,Ersan Ilyasova,MILWAUKEE BUCKS,4
,George Hill,MILWAUKEE BUCKS,4
,Pat Connaughton,MILWAUKEE BUCKS,4
,Tim Frazier,NEW ORLEANS PELICANS,4
,Luke Kornet,NEW YORK KNICKS,4
,Alex Len,ATLANTA HAWKS,3
,John Collins,ATLANTA HAWKS,3
,Kevin Huerter,ATLANTA HAWKS,3
,Trae Young,ATLANTA HAWKS,3
,Vince Carter,ATLANTA HAWKS,3
,Jared Dudley,BROOKLYN NETS,3
,Jarrett Allen,BROOKLYN NETS,3
,Joe Harris,BROOKLYN NETS,3
,Rondae Hollis-Jefferson,BROOKLYN NETS,3
,Shabazz Napier,BROOKLYN NETS,3
,Spencer Dinwiddie,BROOKLYN NETS,3
,Bismack Biyombo,CHARLOTTE HORNETS,3
,Jeremy Lamb,CHARLOTTE HORNETS,3
,Malik Monk,CHARLOTTE HORNETS,3
,Nicolas Batum,CHARLOTTE HORNETS,3
,Tony Parker,CHARLOTTE HORNETS,3
,Jamal Murray,DENVER NUGGETS,3
,Juan Hernangomez,DENVER NUGGETS,3
,Malik Beasley,DENVER NUGGETS,3
,Mason Plumlee,DENVER NUGGETS,3
,Monte Morris,DENVER NUGGETS,3
,Nikola Jokic,DENVER NUGGETS,3
,Torrey Craig,DENVER NUGGETS,3
,Trey Lyles,DENVER NUGGETS,3
,Alfonzo McKinnie,GOLDEN STATE WARRIORS,3
,Andre Iguodala,GOLDEN STATE WARRIORS,3
,Draymond Green,GOLDEN STATE WARRIORS,3
,Jonas Jerebko,GOLDEN STATE WARRIORS,3
,Kevin Durant,GOLDEN STATE WARRIORS,3
,Kevon Looney,GOLDEN STATE WARRIORS,3
,Klay Thompson,GOLDEN STATE WARRIORS,3
,Stephen Curry,GOLDEN STATE WARRIORS,3
,Chris Paul,HOUSTON ROCKETS,3
,Clint Capela,HOUSTON ROCKETS,3
,Danuel House,HOUSTON ROCKETS,3
,Eric Gordon,HOUSTON ROCKETS,3
,Gerald Green,HOUSTON ROCKETS,3
,James Harden,HOUSTON ROCKETS,3
,P.J. Tucker,HOUSTON ROCKETS,3
,Jerome Robinson,LOS ANGELES CLIPPERS,3
,Marcin Gortat,LOS ANGELES CLIPPERS,3
,Mike Scott,LOS ANGELES CLIPPERS,3
,Tobias Harris,LOS ANGELES CLIPPERS,3
,Tyrone Wallace,LOS ANGELES CLIPPERS,3
,Thon Maker,MILWAUKEE BUCKS,3
,Cheick Diallo,NEW ORLEANS PELICANS,3
,Darius Miller,NEW ORLEANS PELICANS,3
,E'Twaun Moore,NEW ORLEANS PELICANS,3
,Jrue Holiday,NEW ORLEANS PELICANS,3
,DeAndre Jordan,NEW YORK KNICKS,3
,Frank Ntilikina,NEW YORK KNICKS,3
,Kadeem Allen,NEW YORK KNICKS,3
,Lance Thomas,NEW YORK KNICKS,3
,Noah Vonleh,NEW YORK KNICKS,3
,Enes Kanter,PORTLAND TRAIL BLAZERS,3
,Bryn Forbes,SAN ANTONIO SPURS,3
,Dante Cunningham,SAN ANTONIO SPURS,3
,Jakob Poeltl,SAN ANTONIO SPURS,3
,LaMarcus Aldridge,SAN ANTONIO SPURS,3
,Marco Belinelli,SAN ANTONIO SPURS,3
,Patty Mills,SAN ANTONIO SPURS,3
,Quincy Pondexter,SAN ANTONIO SPURS,3
,Chasson Randle,WASHINGTON WIZARDS,3
,B.J. Johnson,ATLANTA HAWKS,2
,Deyonta Davis,ATLANTA HAWKS,2
,Jaylen Adams,ATLANTA HAWKS,2
,Justin Anderson,ATLANTA HAWKS,2
