TeamAbbrev,Team
ATL,Atlanta Hawks
BKN,Brooklyn Nets
BOS,Boston Celtics
CHA,Charlotte Hornets
CHI,Chicago Bulls
CLE,Cleveland Cavaliers
DAL,Dallas Mavericks
DEN,Denver Nuggets
DET,Detroit Pistons
GS,Golden State Warriors
HOU,Houston Rockets
IND,Indiana Pacers
LAC,Los Angeles Clippers
LAL,Los Angeles Lakers
MEM,Memphis Grizzlies
MIA,Miami Heat
MIL,Milwaukee Bucks
MIN,Minnesota Timberwolves
NO,New Orleans Pelicans
NY,New York Knicks
OKC,Oklahoma City Thunder
ORL,Orlando Magic
PHI,Philadelphia 76ers
PHO,Phoenix Suns
POR,Portland Trail Blazers
SAC,Sacramento Kings
SA,San Antonio Spurs
TOR,Toronto Raptors
UTA,Utah Jazz
WAS,Washington Wizards
