slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
jamesle01,LeBron James,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,2521,11,20,1,3,9,11,1,11,9,3,1,4,0,31.6
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,2589,11,16,6,8,3,4,1,5,8,2,0,4,3,28.4
duncati01,Tim Duncan,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,WIN,2061,11,20,0,0,6,7,3,10,6,1,3,1,3,28.2
johnsjo02,Joe Johnson,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,WIN,2412,11,19,5,10,6,6,1,4,3,1,0,1,1,27.7
wadedw01,Dwyane Wade,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,2676,9,21,1,3,8,9,2,8,5,2,2,1,0,25.2
leeda02,David Lee,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,2420,9,16,0,0,6,6,3,10,7,2,0,2,5,24.4
willide01,Deron Williams,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,WIN,2315,5,12,3,4,6,6,0,3,13,5,0,2,3,24.4
nelsoja01,Jameer Nelson,ORLANDO MAGIC,HOME,CHICAGO BULLS,LOSS,2412,11,20,6,9,4,4,0,5,4,2,0,4,2,23.9
georgpa01,Paul George,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,2418,9,19,3,8,8,8,1,13,3,2,0,3,3,23.8
hensojo01,John Henson,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,LOSS,1386,10,11,0,0,0,0,3,6,3,1,1,0,1,23.6
gibsota01,Taj Gibson,CHICAGO BULLS,AWAY,ORLANDO MAGIC,WIN,2689,8,12,0,0,5,6,5,6,3,0,4,1,3,23.4
rosste01,Terrence Ross,TORONTO RAPTORS,HOME,PORTLAND TRAIL BLAZERS,WIN,1493,8,14,6,9,4,6,1,4,2,2,0,0,2,23.1
boozeca01,Carlos Boozer,CHICAGO BULLS,AWAY,ORLANDO MAGIC,WIN,2378,13,22,0,0,5,7,2,9,2,2,0,4,3,22.3
paulch01,Chris Paul,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,2319,6,12,1,6,10,12,1,3,6,2,0,1,2,22.2
conlemi01,Mike Conley,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,WIN,2615,8,15,3,6,4,4,0,3,9,1,0,1,3,21.7
couside01,DeMarcus Cousins,SACRAMENTO KINGS,AWAY,CLEVELAND CAVALIERS,WIN,2062,7,17,0,0,4,4,7,9,6,2,1,1,3,21.2
lopezbr01,Brook Lopez,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,WIN,1767,11,17,0,0,3,3,2,3,0,2,1,1,1,21.1
scolalu01,Luis Scola,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,2021,7,14,0,0,7,8,1,3,9,2,1,2,5,20.2
mayooj01,O.J. Mayo,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,2758,12,21,4,10,2,2,0,3,6,2,0,6,3,20.0
duranke01,Kevin Durant,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,LOSS,2481,11,17,2,5,3,4,0,5,5,2,0,5,3,19.9
hardeja01,James Harden,HOUSTON ROCKETS,HOME,NEW ORLEANS HORNETS,WIN,2429,11,23,2,8,7,9,0,2,7,0,0,3,3,19.8
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,LOSS,2505,11,19,1,2,3,4,0,2,10,3,0,6,4,19.7
dragigo01,Goran Dragic,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,2476,7,13,1,4,5,9,2,2,6,1,3,1,4,18.8
crawfja01,Jamal Crawford,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,2081,8,17,4,10,4,4,1,0,5,2,0,3,0,18.5
derozde01,DeMar DeRozan,TORONTO RAPTORS,HOME,PORTLAND TRAIL BLAZERS,WIN,2083,11,17,1,3,1,1,0,2,0,3,0,1,2,18.3
jennibr01,Brandon Jennings,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,LOSS,2627,13,26,1,5,4,4,0,0,5,1,2,5,2,18.1
parketo01,Tony Parker,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,WIN,2135,10,23,1,2,2,2,1,2,11,2,0,3,2,18.1
denglu01,Luol Deng,CHICAGO BULLS,AWAY,ORLANDO MAGIC,WIN,2345,8,16,2,4,5,6,1,2,2,1,0,0,1,17.9
augusdj01,D.J. Augustin,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,2238,4,9,1,4,9,10,2,2,6,1,0,2,1,17.7
geeal01,Alonzo Gee,CLEVELAND CAVALIERS,HOME,SACRAMENTO KINGS,LOSS,2313,5,10,1,3,5,6,2,8,6,0,0,1,2,16.8
johnsam01,Amir Johnson,TORONTO RAPTORS,HOME,PORTLAND TRAIL BLAZERS,WIN,1836,7,12,0,0,3,3,3,4,4,1,1,2,1,16.8
asikom01,Omer Asik,HOUSTON ROCKETS,HOME,NEW ORLEANS HORNETS,WIN,1493,8,14,0,0,5,8,3,5,0,0,1,0,3,16.3
thompja02,Jason Thompson,SACRAMENTO KINGS,AWAY,CLEVELAND CAVALIERS,WIN,2183,8,16,0,0,3,4,3,7,2,0,3,1,3,16.1
pattepa01,Patrick Patterson,HOUSTON ROCKETS,HOME,NEW ORLEANS HORNETS,WIN,1369,7,8,1,2,0,0,2,8,2,0,0,1,1,16.0
davised01,Ed Davis,TORONTO RAPTORS,HOME,PORTLAND TRAIL BLAZERS,WIN,1824,9,12,0,0,1,4,0,7,1,1,0,1,1,15.4
crawfjo02,Jordan Crawford,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,2124,7,15,1,4,5,7,0,4,7,2,0,4,1,15.2
youngth01,Thaddeus Young,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,2155,6,10,0,0,2,2,2,8,2,2,0,0,4,15.0
allento01,Tony Allen,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,WIN,1819,6,8,0,1,3,4,2,3,2,1,0,0,3,14.9
boshch01,Chris Bosh,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,2382,7,10,1,1,2,3,0,4,0,0,3,0,2,14.9
irvinky01,Kyrie Irving,CLEVELAND CAVALIERS,HOME,SACRAMENTO KINGS,LOSS,2103,8,18,1,4,5,6,2,3,6,0,0,3,2,14.9
vucevni01,Nikola Vucevic,ORLANDO MAGIC,HOME,CHICAGO BULLS,LOSS,2364,8,14,0,0,4,6,5,7,0,1,1,3,5,14.9
gortama01,Marcin Gortat,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,2126,5,8,0,0,1,1,2,12,3,2,1,2,2,14.4
kirilan01,Andrei Kirilenko,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,LOSS,1827,4,7,0,1,4,4,3,4,2,0,2,0,1,14.4
holidjr01,Jrue Holiday,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,2326,6,16,1,3,3,4,3,7,10,2,2,6,3,14.2
millspa01,Paul Millsap,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1640,7,8,0,0,0,0,0,0,3,3,1,2,2,14.2
anderry01,Ryan Anderson,NEW ORLEANS HORNETS,AWAY,HOUSTON ROCKETS,LOSS,1710,6,15,2,8,4,4,1,6,1,1,1,0,2,14.0
vasqugr01,Greivis Vasquez,NEW ORLEANS HORNETS,AWAY,HOUSTON ROCKETS,LOSS,2074,6,15,2,3,1,1,0,3,14,0,0,2,4,14.0
gayru01,Rudy Gay,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,WIN,2135,6,15,2,6,5,6,0,6,5,1,1,2,4,13.9
ginobma01,Manu Ginobili,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,WIN,1631,5,12,2,3,4,6,1,1,6,2,0,1,3,13.8
ibakase01,Serge Ibaka,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,LOSS,2231,6,13,1,1,1,1,3,5,0,0,5,0,2,13.6
garcifr01,Francisco Garcia,SACRAMENTO KINGS,AWAY,CLEVELAND CAVALIERS,WIN,2015,6,13,2,6,0,0,1,5,2,2,2,0,2,13.5
dunlemi02,Mike Dunleavy,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,LOSS,2244,7,12,3,7,2,2,0,3,1,1,0,2,2,13.2
piercpa01,Paul Pierce,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,LOSS,2045,6,14,4,8,1,2,0,7,2,2,0,0,4,13.1
kamanch01,Chris Kaman,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,1708,6,13,0,0,2,2,3,7,2,0,3,0,5,13.0
allenra02,Ray Allen,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,1644,5,10,3,6,2,2,1,6,1,0,0,0,1,12.8
barnema02,Matt Barnes,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,2422,8,14,2,6,1,1,2,5,3,0,0,3,4,12.8
loveke01,Kevin Love,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,LOSS,1811,4,14,0,4,5,5,4,6,3,1,2,1,1,12.5
barneha02,Harrison Barnes,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,1529,5,13,1,2,2,3,1,8,4,1,1,1,0,12.1
waitedi01,Dion Waiters,CLEVELAND CAVALIERS,HOME,SACRAMENTO KINGS,LOSS,1761,8,19,1,4,3,3,1,1,3,1,0,0,5,12.0
brookaa01,Aaron Brooks,SACRAMENTO KINGS,AWAY,CLEVELAND CAVALIERS,WIN,1714,6,10,0,2,1,2,1,1,3,1,0,0,1,11.7
mahinia01,Ian Mahinmi,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1356,3,5,0,0,3,4,3,8,0,1,0,0,1,11.4
haywago01,Gordon Hayward,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1393,6,12,3,4,2,2,1,2,0,0,0,1,0,11.3
afflaar01,Arron Afflalo,ORLANDO MAGIC,HOME,CHICAGO BULLS,LOSS,2446,7,13,2,4,3,4,0,1,3,0,0,2,4,11.1
parsoch01,Chandler Parsons,HOUSTON ROCKETS,HOME,NEW ORLEANS HORNETS,WIN,2018,5,9,0,2,0,0,2,8,2,1,1,1,2,10.8
thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,2116,7,14,5,9,0,0,1,2,3,1,0,4,4,10.8
willima02,Marvin Williams,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1593,4,10,1,4,2,2,1,4,3,1,2,0,3,10.8
pekovni01,Nikola Pekovic,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,LOSS,1782,4,9,0,0,3,4,3,1,0,1,4,1,1,10.7
jeffeal01,Al Jefferson,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1689,6,13,0,0,0,0,1,4,2,1,4,1,2,10.6
aldrila01,LaMarcus Aldridge,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,LOSS,2078,7,12,0,0,0,0,3,7,3,0,0,3,3,10.5
chalmma01,Mario Chalmers,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,1602,3,8,1,4,2,2,0,3,4,3,0,0,2,10.5
ellismo01,Monta Ellis,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,LOSS,2353,7,18,0,1,4,6,0,1,8,1,0,3,2,10.5
freeljo01,Joel Freeland,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,LOSS,1253,4,6,0,0,3,3,1,3,1,1,0,0,3,10.5
tinslja01,Jamaal Tinsley,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1426,6,8,0,2,0,0,0,6,3,0,0,1,3,10.5
lopezro01,Robin Lopez,NEW ORLEANS HORNETS,AWAY,HOUSTON ROCKETS,LOSS,1052,6,12,0,0,0,0,4,4,1,0,0,0,1,10.3
nowitdi01,Dirk Nowitzki,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,1754,7,15,2,4,3,4,0,6,1,0,0,2,3,10.2
diawbo01,Boris Diaw,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,WIN,1377,4,4,1,1,0,0,1,3,1,0,0,0,0,10.1
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,LOSS,2243,6,13,1,5,5,6,1,4,7,0,0,7,2,9.9
greenje02,Jeff Green,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,LOSS,870,4,5,2,3,0,0,1,1,1,1,1,1,2,9.7
serapke01,Kevin Seraphin,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,1843,8,13,0,0,0,0,2,7,0,0,1,3,4,9.7
wrighdo01,Dorell Wright,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,1772,6,9,2,4,0,0,0,3,2,0,0,2,2,9.6
kanteen01,Enes Kanter,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1191,5,10,0,0,5,6,2,6,1,1,0,3,5,9.5
favorde01,Derrick Favors,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,986,4,6,0,0,0,0,4,2,1,0,3,1,3,9.4
linje01,Jeremy Lin,HOUSTON ROCKETS,HOME,NEW ORLEANS HORNETS,WIN,2501,3,10,1,4,2,2,2,4,7,1,0,2,1,9.3
roberbr01,Brian Roberts,NEW ORLEANS HORNETS,AWAY,HOUSTON ROCKETS,LOSS,1305,4,7,0,2,3,3,1,2,1,0,0,0,1,9.3
allenla01,Lavoy Allen,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,2127,5,11,0,0,0,0,3,6,2,0,0,0,1,9.2
rondora01,Rajon Rondo,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,LOSS,2386,4,11,0,4,3,4,1,1,10,0,0,3,1,9.1
blatcan01,Andray Blatche,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,WIN,1077,4,7,0,0,2,2,1,4,1,0,1,1,0,9.0
speigma01,Marreese Speights,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,WIN,835,4,6,0,0,2,2,2,4,0,0,0,1,0,9.0
youngni01,Nick Young,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,1196,3,7,2,3,4,4,0,0,1,1,0,1,0,9.0
hibbero01,Roy Hibbert,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1453,6,11,0,0,1,1,1,3,4,0,1,2,5,8.8
odomla01,Lamar Odom,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1465,2,4,0,0,0,0,1,8,4,2,1,1,2,8.8
smithja02,Jason Smith,NEW ORLEANS HORNETS,AWAY,HOUSTON ROCKETS,LOSS,1361,6,10,0,0,0,0,0,2,0,2,2,1,4,8.8
caldejo01,Jose Calderon,TORONTO RAPTORS,HOME,PORTLAND TRAIL BLAZERS,WIN,1368,0,1,0,1,0,0,0,1,13,0,0,0,0,8.7
bealbr01,Bradley Beal,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,1688,6,15,2,4,0,0,0,2,3,0,1,0,2,8.5
cartevi01,Vince Carter,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,2164,5,16,1,8,4,4,1,8,3,1,1,3,3,8.5
hilarne01,Nene Hilario,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,1497,6,13,0,0,3,3,1,5,1,2,1,5,1,8.5
humphkr01,Kris Humphries,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,WIN,1515,4,10,0,0,3,4,3,4,1,1,1,2,1,8.5
collida01,Darren Collison,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,2408,4,9,1,2,2,3,0,4,3,1,0,1,2,8.4
arthuda01,Darrell Arthur,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,WIN,1354,4,7,2,3,0,0,1,2,0,0,1,0,1,8.3
bassbr01,Brandon Bass,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,LOSS,1395,3,5,0,0,3,3,0,1,1,2,0,1,1,8.3
batumni01,Nicolas Batum,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,LOSS,2115,4,12,0,6,2,2,1,3,4,0,1,0,0,8.3
greenda02,Danny Green,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,WIN,1783,3,5,3,4,0,0,0,2,1,1,0,0,2,8.2
hinriki01,Kirk Hinrich,CHICAGO BULLS,AWAY,ORLANDO MAGIC,WIN,1933,2,9,1,3,2,4,0,2,8,3,1,1,4,8.0
morrima02,Markieff Morris,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,859,4,8,1,2,0,0,2,2,1,0,1,0,1,8.0
wallage01,Gerald Wallace,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,WIN,2210,2,5,0,1,2,2,1,3,2,2,0,0,1,7.9
terryja01,Jason Terry,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,LOSS,1623,3,5,2,4,0,0,0,2,2,1,0,1,0,7.7
shvedal01,Alexey Shved,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,LOSS,2167,3,10,2,7,5,6,0,3,2,0,1,2,1,7.4
willide02,Derrick Williams,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,LOSS,1069,2,5,0,1,3,4,1,1,1,2,2,1,2,7.2
brownsh01,Shannon Brown,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,1473,6,12,0,2,0,0,2,1,2,1,0,3,0,7.1
hamilri01,Richard Hamilton,CHICAGO BULLS,AWAY,ORLANDO MAGIC,WIN,1798,2,6,0,0,0,0,0,2,9,0,0,0,1,7.1
amundlo01,Lou Amundson,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,LOSS,775,4,8,0,0,0,3,5,1,0,1,1,1,1,6.9
mcrobjo01,Josh McRoberts,ORLANDO MAGIC,HOME,CHICAGO BULLS,LOSS,1255,1,4,0,2,0,0,2,2,5,1,1,0,0,6.8
watsoea01,Earl Watson,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1454,1,4,0,1,0,0,1,3,9,0,0,0,2,6.7
jackja01,Jarrett Jack,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,1723,4,12,0,4,3,3,2,3,5,1,0,4,1,6.6
douglto01,Toney Douglas,HOUSTON ROCKETS,HOME,NEW ORLEANS HORNETS,WIN,830,3,4,0,1,2,2,0,2,1,1,0,1,3,6.5
leeco01,Courtney Lee,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,LOSS,739,3,4,0,0,2,2,0,0,1,0,0,0,2,6.3
matthwe02,Wesley Matthews,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,LOSS,1627,4,7,2,4,2,3,0,0,2,1,0,4,1,6.3
nealga01,Gary Neal,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,WIN,757,3,5,1,2,0,0,0,2,2,0,0,0,1,6.3
brandel01,Elton Brand,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,1028,3,4,0,0,1,1,1,2,1,0,0,0,3,6.2
