team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES CLIPPERS,240,37,73,8,17,18,30,9,29,20,6,4,14,24
CHICAGO BULLS,240,39,82,6,15,15,23,12,25,17,5,5,15,25
NEW YORK KNICKS,265,39,95,11,34,13,14,6,41,22,11,7,19,20
CLEVELAND CAVALIERS,265,42,102,10,27,15,20,13,43,28,8,7,13,11
MINNESOTA TIMBERWOLVES,240,39,84,6,22,29,35,12,37,24,6,9,16,23
DENVER NUGGETS,240,39,86,10,27,27,33,7,28,25,7,4,12,26
UTAH JAZZ,240,35,83,7,15,18,26,14,32,25,8,7,9,15
MILWAUKEE BUCKS,240,32,71,7,18,15,18,3,28,21,6,5,12,20
PHILADELPHIA 76ERS,240,34,77,3,11,26,31,7,32,18,11,6,12,20
ORLANDO MAGIC,240,36,87,3,15,14,22,17,36,19,6,3,16,23
GOLDEN STATE WARRIORS,240,36,81,6,17,17,23,15,27,17,11,4,17,23
PORTLAND TRAIL BLAZERS,240,38,78,6,15,14,22,11,29,24,10,0,13,19
MEMPHIS GRIZZLIES,265,42,95,8,14,14,21,16,32,23,8,4,13,17
SAN ANTONIO SPURS,265,44,86,10,23,14,19,9,32,31,8,6,14,19
MIAMI HEAT,240,31,72,8,22,25,32,8,36,18,8,9,17,20
WASHINGTON WIZARDS,240,37,87,2,9,18,26,12,32,22,11,6,13,23
