name,team,corrected_name
Amare Stoudemire,DALLAS MAVERICKS,Amar'e Stoudemire
Amare Stoudemire,MIAMI HEAT,Amar'e Stoudemire
Amare Stoudemire,NEW YORK KNICKS,Amar'e Stoudemire
C.J. McCollum,PORTLAND TRAIL BLAZERS,CJ McCollum
DeAndre Bembry,ATLANTA HAWKS,DeAndre' Bembry
Dennis Smith Jr.,DALLAS MAVERICKS,Dennis Smith
Dennis Smith Jr.,NEW YORK KNICKS,Dennis Smith
Derrick Walton Jr.,MIAMI HEAT,Derrick Walton
Frank Mason III,SACRAMENTO KINGS,Frank Mason
Gary Trent Jr.,PORTLAND TRAIL BLAZERS,Gary Trent
Glen Rice Jr.,WASHINGTON WIZARDS,Glen Rice
Glenn Robinson III,DETROIT PISTONS,Glenn Robinson
Glenn Robinson III,INDIANA PACERS,Glenn Robinson
Glenn Robinson III,MINNESOTA TIMBERWOLVES,Glenn Robinson
Glenn Robinson III,PHILADELPHIA 76ERS,Glenn Robinson
Guillermo Hernangomez,CHARLOTTE HORNETS,Willy Hernangomez
Guillermo Hernangomez,NEW YORK KNICKS,Willy Hernangomez
Ishmael Smith,DETROIT PISTONS,Ish Smith
Ishmael Smith,GOLDEN STATE WARRIORS,Ish Smith
Ishmael Smith,HOUSTON ROCKETS,Ish Smith
Ishmael Smith,MEMPHIS GRIZZLIES,Ish Smith
Ishmael Smith,MILWAUKEE BUCKS,Ish Smith
Ishmael Smith,NEW ORLEANS PELICANS,Ish Smith
Ishmael Smith,OKLAHOMA CITY THUNDER,Ish Smith
Ishmael Smith,ORLANDO MAGIC,Ish Smith
Ishmael Smith,PHILADELPHIA 76ERS,Ish Smith
Ishmael Smith,PHOENIX SUNS,Ish Smith
Jacob Evans III,GOLDEN STATE WARRIORS,Jacob Evans
John Lucas,DETROIT PISTONS,John Lucas III
John Lucas,MINNESOTA TIMBERWOLVES,John Lucas III
Jose Barea,DALLAS MAVERICKS,J.J. Barea
Joseph Young,INDIANA PACERS,Joe Young
Larry Drew II,NEW ORLEANS PELICANS,Larry Drew
Larry Drew II,PHILADELPHIA 76ERS,Larry Drew
Louis Amundson,CLEVELAND CAVALIERS,Lou Amundson
Louis Amundson,NEW YORK KNICKS,Lou Amundson
Louis Williams,HOUSTON ROCKETS,Lou Williams
Louis Williams,LOS ANGELES CLIPPERS,Lou Williams
Louis Williams,LOS ANGELES LAKERS,Lou Williams
Louis Williams,TORONTO RAPTORS,Lou Williams
Maurice N'dour,NEW YORK KNICKS,Maurice Ndour
Maurice Williams,ATLANTA HAWKS,Mo Williams
Maurice Williams,CHARLOTTE HORNETS,Mo Williams
Maurice Williams,CLEVELAND CAVALIERS,Mo Williams
Maurice Williams,MINNESOTA TIMBERWOLVES,Mo Williams
Nazareth Mitrou-Long,UTAH JAZZ,Naz Mitrou-Long
Perry Jones III,OKLAHOMA CITY THUNDER,Perry Jones
Sheldon McClellan,WASHINGTON WIZARDS,Sheldon Mac
Taurean Prince,ATLANTA HAWKS,Taurean Waller-Prince
Tim Hardaway Jr.,ATLANTA HAWKS,Tim Hardaway
Tim Hardaway Jr.,DALLAS MAVERICKS,Tim Hardaway
Tim Hardaway Jr.,NEW YORK KNICKS,Tim Hardaway
Timothe Luwawu,CHICAGO BULLS,Timothe Luwawu-Cabarrot
Timothe Luwawu,OKLAHOMA CITY THUNDER,Timothe Luwawu-Cabarrot
Timothe Luwawu,PHILADELPHIA 76ERS,Timothe Luwawu-Cabarrot
TJ Leaf,INDIANA PACERS,T.J. Leaf
Trey McKinney Jones,INDIANA PACERS,Trey McKinney-Jones
Troy Brown Jr.,WASHINGTON WIZARDS,Troy Brown
Vincent Edwards,HOUSTON ROCKETS,Vince Edwards
Walter Lemon Jr.,CHICAGO BULLS,Walt Lemon
Walter Lemon Jr.,NEW ORLEANS PELICANS,Walt Lemon
Walter Tavares,ATLANTA HAWKS,Edy Tavares
Walter Tavares,CLEVELAND CAVALIERS,Edy Tavares
Wendell Carter Jr.,CHICAGO BULLS,Wendell Carter
Wes Iwundu,ORLANDO MAGIC,Wesley Iwundu
Wes Matthews,DALLAS MAVERICKS,Wesley Matthews
Wes Matthews,INDIANA PACERS,Wesley Matthews
Wes Matthews,NEW YORK KNICKS,Wesley Matthews
Wes Matthews,PORTLAND TRAIL BLAZERS,Wesley Matthews
Michael Porter Jr.,DENVER NUGGETS,Michael Porter
Gary Trent Jr.,PORTLAND TRAIL BLAZERS,Gary Trent
