slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
nelsoja01,Jameer Nelson,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1800,6,10,4,5,8,8,1,4,5,0,0,3,4,20.2
howardw01,Dwight Howard,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2380,7,12,0,0,7,12,2,8,0,2,5,4,2,17.9
wallara01,Rasheed Wallace,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1082,7,9,3,5,4,4,0,2,0,1,2,1,6,17.1
piercpa01,Paul Pierce,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,2507,3,8,2,4,10,10,0,3,3,1,1,3,4,13.7
rondora01,Rajon Rondo,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,2290,7,15,0,0,5,11,1,2,6,1,0,2,4,11.8
redicjj01,J.J. Redick,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1326,3,6,2,3,6,7,0,1,1,1,0,1,2,10.8
willija02,Jason Williams,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1080,2,4,0,2,1,1,2,1,5,1,0,0,0,9.2
barnema02,Matt Barnes,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1481,3,6,3,4,0,0,1,6,0,1,1,2,2,7.4
lewisra02,Rashard Lewis,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1416,6,11,1,3,1,2,2,5,0,0,0,2,5,7.2
pietrmi01,Mickael Pietrus,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1455,3,5,2,4,0,0,0,2,0,1,1,0,2,7.2
allenra02,Ray Allen,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,2492,3,11,1,3,2,3,0,4,7,0,0,1,3,6.0
bassbr01,Brandon Bass,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,733,3,5,0,0,2,2,0,1,1,0,0,1,0,5.7
garneke01,Kevin Garnett,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1729,5,14,0,0,0,0,1,4,3,0,0,0,2,5.4
robinna01,Nate Robinson,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,536,2,5,1,4,0,0,1,0,0,1,1,0,2,3.9
cartevi01,Vince Carter,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1530,3,10,1,4,1,1,0,3,3,0,0,0,4,3.6
gortama01,Marcin Gortat,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1199,0,0,0,0,2,2,2,2,1,0,0,0,3,3.5
perkike01,Kendrick Perkins,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,983,1,1,0,0,0,0,0,4,0,1,0,1,3,1.7
willish02,Shelden Williams,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,289,0,0,0,0,2,2,0,0,0,0,0,0,1,1.6
davisgl01,Glen Davis,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1191,2,4,0,0,0,0,0,1,0,0,0,0,4,0.7
allento01,Tony Allen,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,639,1,3,0,0,0,0,0,1,0,0,0,1,0,-0.4
daniema01,Marquis Daniels,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,198,0,0,0,0,0,0,1,1,0,0,0,1,1,-0.4
finlemi01,Michael Finley,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,464,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.4
