slug,name,season,team
davisan02,Anthony Davis,2013,NEW ORLEANS HORNETS
davisan02,Anthony Davis,2014,NEW ORLEANS PELICANS
davisan02,Anthony Davis,2015,NEW ORLEANS PELICANS
davisan02,Anthony Davis,2016,NEW ORLEANS PELICANS
davisan02,Anthony Davis,2017,NEW ORLEANS PELICANS
davisan02,Anthony Davis,2018,NEW ORLEANS PELICANS
davisan02,Anthony Davis,2019,NEW ORLEANS PELICANS
hardeja01,James Harden,2010,OKLAHOMA CITY THUNDER
hardeja01,James Harden,2011,OKLAHOMA CITY THUNDER
hardeja01,James Harden,2012,OKLAHOMA CITY THUNDER
hardeja01,James Harden,2013,HOUSTON ROCKETS
hardeja01,James Harden,2014,HOUSTON ROCKETS
hardeja01,James Harden,2015,HOUSTON ROCKETS
hardeja01,James Harden,2016,HOUSTON ROCKETS
hardeja01,James Harden,2017,HOUSTON ROCKETS
hardeja01,James Harden,2018,HOUSTON ROCKETS
hardeja01,James Harden,2019,HOUSTON ROCKETS
ellismo01,Monta Ellis,2006,GOLDEN STATE WARRIORS
ellismo01,Monta Ellis,2007,GOLDEN STATE WARRIORS
ellismo01,Monta Ellis,2008,GOLDEN STATE WARRIORS
ellismo01,Monta Ellis,2009,GOLDEN STATE WARRIORS
ellismo01,Monta Ellis,2010,GOLDEN STATE WARRIORS
ellismo01,Monta Ellis,2011,GOLDEN STATE WARRIORS
ellismo01,Monta Ellis,2012,TOT
ellismo01,Monta Ellis,2012,GOLDEN STATE WARRIORS
ellismo01,Monta Ellis,2012,MILWAUKEE BUCKS
ellismo01,Monta Ellis,2013,MILWAUKEE BUCKS
ellismo01,Monta Ellis,2014,DALLAS MAVERICKS
ellismo01,Monta Ellis,2015,DALLAS MAVERICKS
ellismo01,Monta Ellis,2016,INDIANA PACERS
ellismo01,Monta Ellis,2017,INDIANA PACERS
vucevni01,Nikola Vucevic,2012,PHILADELPHIA 76ERS
vucevni01,Nikola Vucevic,2013,ORLANDO MAGIC
vucevni01,Nikola Vucevic,2014,ORLANDO MAGIC
vucevni01,Nikola Vucevic,2015,ORLANDO MAGIC
vucevni01,Nikola Vucevic,2016,ORLANDO MAGIC
vucevni01,Nikola Vucevic,2017,ORLANDO MAGIC
vucevni01,Nikola Vucevic,2018,ORLANDO MAGIC
vucevni01,Nikola Vucevic,2019,ORLANDO MAGIC
parketo01,Tony Parker,2002,SAN ANTONIO SPURS
parketo01,Tony Parker,2003,SAN ANTONIO SPURS
parketo01,Tony Parker,2004,SAN ANTONIO SPURS
parketo01,Tony Parker,2005,SAN ANTONIO SPURS
parketo01,Tony Parker,2006,SAN ANTONIO SPURS
parketo01,Tony Parker,2007,SAN ANTONIO SPURS
parketo01,Tony Parker,2008,SAN ANTONIO SPURS
parketo01,Tony Parker,2009,SAN ANTONIO SPURS
parketo01,Tony Parker,2010,SAN ANTONIO SPURS
parketo01,Tony Parker,2011,SAN ANTONIO SPURS
parketo01,Tony Parker,2012,SAN ANTONIO SPURS
parketo01,Tony Parker,2013,SAN ANTONIO SPURS
parketo01,Tony Parker,2014,SAN ANTONIO SPURS
parketo01,Tony Parker,2015,SAN ANTONIO SPURS
parketo01,Tony Parker,2016,SAN ANTONIO SPURS
parketo01,Tony Parker,2017,SAN ANTONIO SPURS
parketo01,Tony Parker,2018,SAN ANTONIO SPURS
parketo01,Tony Parker,2019,CHARLOTTE HORNETS
asikom01,Omer Asik,2011,CHICAGO BULLS
asikom01,Omer Asik,2012,CHICAGO BULLS
asikom01,Omer Asik,2013,HOUSTON ROCKETS
asikom01,Omer Asik,2014,HOUSTON ROCKETS
asikom01,Omer Asik,2015,NEW ORLEANS PELICANS
asikom01,Omer Asik,2016,NEW ORLEANS PELICANS
asikom01,Omer Asik,2017,NEW ORLEANS PELICANS
asikom01,Omer Asik,2018,TOT
asikom01,Omer Asik,2018,NEW ORLEANS PELICANS
asikom01,Omer Asik,2018,CHICAGO BULLS
boozeca01,Carlos Boozer,2003,CLEVELAND CAVALIERS
boozeca01,Carlos Boozer,2004,CLEVELAND CAVALIERS
boozeca01,Carlos Boozer,2005,UTAH JAZZ
boozeca01,Carlos Boozer,2006,UTAH JAZZ
boozeca01,Carlos Boozer,2007,UTAH JAZZ
boozeca01,Carlos Boozer,2008,UTAH JAZZ
boozeca01,Carlos Boozer,2009,UTAH JAZZ
boozeca01,Carlos Boozer,2010,UTAH JAZZ
boozeca01,Carlos Boozer,2011,CHICAGO BULLS
boozeca01,Carlos Boozer,2012,CHICAGO BULLS
boozeca01,Carlos Boozer,2013,CHICAGO BULLS
boozeca01,Carlos Boozer,2014,CHICAGO BULLS
boozeca01,Carlos Boozer,2015,LOS ANGELES LAKERS
joneste01,Terrence Jones,2013,HOUSTON ROCKETS
joneste01,Terrence Jones,2014,HOUSTON ROCKETS
joneste01,Terrence Jones,2015,HOUSTON ROCKETS
joneste01,Terrence Jones,2016,HOUSTON ROCKETS
joneste01,Terrence Jones,2017,TOT
joneste01,Terrence Jones,2017,NEW ORLEANS PELICANS
joneste01,Terrence Jones,2017,MILWAUKEE BUCKS
joneste01,Terrence Jones,2018,Did Not Play (other pro league—G-League)
joneste01,Terrence Jones,2019,HOUSTON ROCKETS
nowitdi01,Dirk Nowitzki,1999,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2000,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2001,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2002,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2003,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2004,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2005,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2006,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2007,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2008,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2009,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2010,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2011,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2012,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2013,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2014,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2015,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2016,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2017,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2018,DALLAS MAVERICKS
nowitdi01,Dirk Nowitzki,2019,DALLAS MAVERICKS
harrito02,Tobias Harris,2012,MILWAUKEE BUCKS
harrito02,Tobias Harris,2013,TOT
harrito02,Tobias Harris,2013,MILWAUKEE BUCKS
harrito02,Tobias Harris,2013,ORLANDO MAGIC
harrito02,Tobias Harris,2014,ORLANDO MAGIC
harrito02,Tobias Harris,2015,ORLANDO MAGIC
harrito02,Tobias Harris,2016,TOT
harrito02,Tobias Harris,2016,ORLANDO MAGIC
harrito02,Tobias Harris,2016,DETROIT PISTONS
harrito02,Tobias Harris,2017,DETROIT PISTONS
harrito02,Tobias Harris,2018,TOT
harrito02,Tobias Harris,2018,DETROIT PISTONS
harrito02,Tobias Harris,2018,LOS ANGELES CLIPPERS
harrito02,Tobias Harris,2019,TOT
harrito02,Tobias Harris,2019,LOS ANGELES CLIPPERS
harrito02,Tobias Harris,2019,PHILADELPHIA 76ERS
ginobma01,Manu Ginobili,2003,SAN ANTONIO SPURS
ginobma01,Manu Ginobili,2004,SAN ANTONIO SPURS
ginobma01,Manu Ginobili,2005,SAN ANTONIO SPURS
ginobma01,Manu Ginobili,2006,SAN ANTONIO SPURS
ginobma01,Manu Ginobili,2007,SAN ANTONIO SPURS
ginobma01,Manu Ginobili,2008,SAN ANTONIO SPURS
ginobma01,Manu Ginobili,2009,SAN ANTONIO SPURS
ginobma01,Manu Ginobili,2010,SAN ANTONIO SPURS
ginobma01,Manu Ginobili,2011,SAN ANTONIO SPURS
ginobma01,Manu Ginobili,2012,SAN ANTONIO SPURS
ginobma01,Manu Ginobili,2013,SAN ANTONIO SPURS
ginobma01,Manu Ginobili,2014,SAN ANTONIO SPURS
ginobma01,Manu Ginobili,2015,SAN ANTONIO SPURS
ginobma01,Manu Ginobili,2016,SAN ANTONIO SPURS
ginobma01,Manu Ginobili,2017,SAN ANTONIO SPURS
ginobma01,Manu Ginobili,2018,SAN ANTONIO SPURS
harride01,Devin Harris,2005,DALLAS MAVERICKS
harride01,Devin Harris,2006,DALLAS MAVERICKS
harride01,Devin Harris,2007,DALLAS MAVERICKS
harride01,Devin Harris,2008,TOT
harride01,Devin Harris,2008,DALLAS MAVERICKS
harride01,Devin Harris,2008,NEW JERSEY NETS
harride01,Devin Harris,2009,NEW JERSEY NETS
harride01,Devin Harris,2010,NEW JERSEY NETS
harride01,Devin Harris,2011,TOT
harride01,Devin Harris,2011,NEW JERSEY NETS
harride01,Devin Harris,2011,UTAH JAZZ
harride01,Devin Harris,2012,UTAH JAZZ
harride01,Devin Harris,2013,ATLANTA HAWKS
harride01,Devin Harris,2014,DALLAS MAVERICKS
harride01,Devin Harris,2015,DALLAS MAVERICKS
harride01,Devin Harris,2016,DALLAS MAVERICKS
harride01,Devin Harris,2017,DALLAS MAVERICKS
harride01,Devin Harris,2018,TOT
harride01,Devin Harris,2018,DALLAS MAVERICKS
harride01,Devin Harris,2018,DENVER NUGGETS
harride01,Devin Harris,2019,DALLAS MAVERICKS
anderry01,Ryan Anderson,2009,NEW JERSEY NETS
anderry01,Ryan Anderson,2010,ORLANDO MAGIC
anderry01,Ryan Anderson,2011,ORLANDO MAGIC
anderry01,Ryan Anderson,2012,ORLANDO MAGIC
anderry01,Ryan Anderson,2013,NEW ORLEANS HORNETS
anderry01,Ryan Anderson,2014,NEW ORLEANS PELICANS
anderry01,Ryan Anderson,2015,NEW ORLEANS PELICANS
anderry01,Ryan Anderson,2016,NEW ORLEANS PELICANS
anderry01,Ryan Anderson,2017,HOUSTON ROCKETS
anderry01,Ryan Anderson,2018,HOUSTON ROCKETS
anderry01,Ryan Anderson,2019,TOT
anderry01,Ryan Anderson,2019,PHOENIX SUNS
anderry01,Ryan Anderson,2019,MIAMI HEAT
duncati01,Tim Duncan,1998,SAN ANTONIO SPURS
duncati01,Tim Duncan,1999,SAN ANTONIO SPURS
duncati01,Tim Duncan,2000,SAN ANTONIO SPURS
duncati01,Tim Duncan,2001,SAN ANTONIO SPURS
duncati01,Tim Duncan,2002,SAN ANTONIO SPURS
duncati01,Tim Duncan,2003,SAN ANTONIO SPURS
duncati01,Tim Duncan,2004,SAN ANTONIO SPURS
duncati01,Tim Duncan,2005,SAN ANTONIO SPURS
duncati01,Tim Duncan,2006,SAN ANTONIO SPURS
duncati01,Tim Duncan,2007,SAN ANTONIO SPURS
duncati01,Tim Duncan,2008,SAN ANTONIO SPURS
duncati01,Tim Duncan,2009,SAN ANTONIO SPURS
duncati01,Tim Duncan,2010,SAN ANTONIO SPURS
duncati01,Tim Duncan,2011,SAN ANTONIO SPURS
duncati01,Tim Duncan,2012,SAN ANTONIO SPURS
duncati01,Tim Duncan,2013,SAN ANTONIO SPURS
duncati01,Tim Duncan,2014,SAN ANTONIO SPURS
duncati01,Tim Duncan,2015,SAN ANTONIO SPURS
duncati01,Tim Duncan,2016,SAN ANTONIO SPURS
belinma01,Marco Belinelli,2008,GOLDEN STATE WARRIORS
belinma01,Marco Belinelli,2009,GOLDEN STATE WARRIORS
belinma01,Marco Belinelli,2010,TORONTO RAPTORS
belinma01,Marco Belinelli,2011,NEW ORLEANS HORNETS
belinma01,Marco Belinelli,2012,NEW ORLEANS HORNETS
belinma01,Marco Belinelli,2013,CHICAGO BULLS
belinma01,Marco Belinelli,2014,SAN ANTONIO SPURS
belinma01,Marco Belinelli,2015,SAN ANTONIO SPURS
belinma01,Marco Belinelli,2016,SACRAMENTO KINGS
belinma01,Marco Belinelli,2017,CHARLOTTE HORNETS
belinma01,Marco Belinelli,2018,TOT
belinma01,Marco Belinelli,2018,ATLANTA HAWKS
belinma01,Marco Belinelli,2018,PHILADELPHIA 76ERS
belinma01,Marco Belinelli,2019,SAN ANTONIO SPURS
arizatr01,Trevor Ariza,2005,NEW YORK KNICKS
arizatr01,Trevor Ariza,2006,TOT
arizatr01,Trevor Ariza,2006,NEW YORK KNICKS
arizatr01,Trevor Ariza,2006,ORLANDO MAGIC
arizatr01,Trevor Ariza,2007,ORLANDO MAGIC
arizatr01,Trevor Ariza,2008,TOT
arizatr01,Trevor Ariza,2008,ORLANDO MAGIC
