"slug","name","season"
"davisan02","Anthony Davis","2015"
"hardeja01","James Harden","2015"
"ellismo01","Monta Ellis","2015"
"vucevni01","Nikola Vucevic","2015"
"parketo01","Tony Parker","2015"
"asikom01","Omer Asik","2015"
"boozeca01","Carlos Boozer","2015"
"joneste01","Terrence Jones","2015"
"nowitdi01","Dirk Nowitzki","2015"
"harrito02","Tobias Harris","2015"
"ginobma01","Manu Ginobili","2015"
"harride01","Devin Harris","2015"
"anderry01","Ryan Anderson","2015"
"duncati01","Tim Duncan","2015"
"belinma01","Marco Belinelli","2015"
"arizatr01","Trevor Ariza","2015"
"davised01","Ed Davis","2015"
"evansty01","Tyreke Evans","2015"
"howardw01","Dwight Howard","2015"
"bryanko01","Kobe Bryant","2015"
"nelsoja01","Jameer Nelson","2015"
"greenda02","Danny Green","2015"
"chandty01","Tyson Chandler","2015"
"wrighbr03","Brandan Wright","2015"
"josepco01","Cory Joseph","2015"
"beverpa01","Patrick Beverley","2015"
"gordoaa01","Aaron Gordon","2015"
"holidjr01","Jrue Holiday","2015"
"riverau01","Austin Rivers","2015"
"clarkjo01","Jordan Clarkson","2015"
"terryja01","Jason Terry","2015"
"hilljo01","Jordan Hill","2015"
"diawbo01","Boris Diaw","2015"
"gordoer01","Eric Gordon","2015"
"jefferi01","Richard Jefferson","2015"
"oquinky01","Kyle O'Quinn","2015"
"paytoel01","Elfrid Payton","2015"
"pricero01","Ronnie Price","2015"
"papanko01","Kostas Papanikolaou","2015"
"linje01","Jeremy Lin","2015"
"crowdja01","Jae Crowder","2015"
"dedmode01","Dewayne Dedmon","2015"
"marblde01","Devyn Marble","2015"
"fournev01","Evan Fournier","2015"
"motiedo01","Donatas Motiejunas","2015"
"johnswe01","Wesley Johnson","2015"
"henryxa01","Xavier Henry","2015"
"parsoch01","Chandler Parsons","2015"
"baynear01","Aron Baynes","2015"
"ajincal01","Alexis Ajinca","2015"
"canaais01","Isaiah Canaan","2015"
"salmojo01","John Salmons","2015"
"greenwi01","Willie Green","2015"
"gordobe01","Ben Gordon","2015"
"babbilu01","Luke Babbitt","2015"
"blackta01","Tarik Black","2015"
"smithgr02","Greg Smith","2015"
"witheje01","Jeff Withey","2015"
"sacrero01","Robert Sacre","2015"
"fredeji01","Jimmer Fredette","2015"
"ridnolu01","Luke Ridnour","2015"
"aminual01","Al-Farouq Aminu","2015"
"randlju01","Julius Randle","2015"
"bonnema01","Matt Bonner","2015"
