position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Rubio, Ricky^",44.75,"$7,900",MINNESOTA TIMBERWOLVES,v por, 110-109,39:23,   11pt 7rb 16as 1bl 5to 2-7fg 7-9ft
PG,"Lillard, Damian^",44.5,"$9,600",PORTLAND TRAIL BLAZERS,@ min, 109-110,39:07,   25pt 4rb 6as 2st 3trey 7-21fg 8-9ft
PG/SG,"McCollum, C.J.^",32.25,"$7,700",PORTLAND TRAIL BLAZERS,@ min, 109-110,35:12,   17pt 5rb 4as 1st 1bl 2to 5-14fg 7-8ft
PG/SG,"Jones, Tyus",7.75,"$3,000",MINNESOTA TIMBERWOLVES,v por, 110-109,10:15,   4pt 1rb 1as 1st 2to 2-2fg
PG,"Dunn, Kris",1.5,"$4,200",MINNESOTA TIMBERWOLVES,v por, 110-109,6:10,   0pt 1as 0-1fg
PG,"Napier, Shabazz",0,"$3,000",PORTLAND TRAIL BLAZERS,@ min, 109-110,DNP,   
SG,"LaVine, Zach",0,"$3,000",MINNESOTA TIMBERWOLVES,v por, 110-109,NA,   
PF,"Aminu, Al-Farouq",44.25,"$5,100",PORTLAND TRAIL BLAZERS,@ min, 109-110,34:52,   20pt 7rb 5as 3bl 4trey 7-14fg 2-2ft
SF,"Wiggins, Andrew^",34.25,"$7,300",MINNESOTA TIMBERWOLVES,v por, 110-109,38:15,   29pt 3rb 3trey 11-24fg 4-4ft
SF,"Harkless, Maurice^",34,"$3,900",PORTLAND TRAIL BLAZERS,@ min, 109-110,36:10,   17pt 8rb 1as 1st 1bl 3trey 7-10fg
SG/SF,"Rush, Brandon^",30.75,"$3,000",MINNESOTA TIMBERWOLVES,v por, 110-109,36:41,   12pt 7rb 3as 1st 2bl 2to 1trey 4-8fg 3-4ft
SG/SF,"Turner, Evan",20.5,"$3,600",PORTLAND TRAIL BLAZERS,@ min, 109-110,27:20,   6pt 4rb 4as 2bl 1to 3-7fg
SG/SF,"Crabbe, Allen",18.25,"$4,300",PORTLAND TRAIL BLAZERS,@ min, 109-110,29:26,   12pt 1rb 2as 1st 1to 1trey 5-11fg 1-2ft
SG/SF,"Muhammad, Shabazz",12.25,"$3,000",MINNESOTA TIMBERWOLVES,v por, 110-109,13:16,   11pt 1rb 4-7fg 3-3ft
PF,"Casspi, Omri",5.25,"$3,000",MINNESOTA TIMBERWOLVES,v por, 110-109,11:54,   1pt 1rb 2as 0-1fg 1-2ft
PF,"Payne, Adreian",5.25,"$3,000",MINNESOTA TIMBERWOLVES,v por, 110-109,6:17,   0pt 3rb 1st 1to
SF,"Connaughton, Pat",0,"$3,000",PORTLAND TRAIL BLAZERS,@ min, 109-110,DNP,   
PF,"Bjelica, Nemanja",0,"$3,000",MINNESOTA TIMBERWOLVES,v por, 110-109,DNP,   
PF,"Layman, Jake",0,"$3,000",PORTLAND TRAIL BLAZERS,@ min, 109-110,DNP,   
PF,"Hill, Jordan",0,"$3,000",MINNESOTA TIMBERWOLVES,v por, 110-109,DNP,   
PF,"Davis, Ed",0,"$3,000",PORTLAND TRAIL BLAZERS,@ min, 109-110,NA,   
PF/C,"Towns, Karl-Anthony^",50,"$10,500",MINNESOTA TIMBERWOLVES,v por, 110-109,38:33,   34pt 12rb 1to 15-25fg 4-4ft
PF/C,"Dieng, Gorgui^",26.5,"$6,300",MINNESOTA TIMBERWOLVES,v por, 110-109,39:16,   8pt 8rb 3as 2bl 3-8fg 2-2ft
PF/C,"Vonleh, Noah^",24.5,"$4,100",PORTLAND TRAIL BLAZERS,@ min, 109-110,26:09,   12pt 4rb 2st 2bl 1to 4-5fg 4-4ft
PF/C,"Leonard, Meyers^",5.5,"$4,000",PORTLAND TRAIL BLAZERS,@ min, 109-110,11:44,   0pt 2rb 2as 0-4fg
C,"Nurkic, Jusuf",0,"$7,400",PORTLAND TRAIL BLAZERS,@ min, 109-110,DNP,   
C,"Aldrich, Cole",0,"$3,000",MINNESOTA TIMBERWOLVES,v por, 110-109,DNP,   
C,"Pekovic, Nikola",0,"$3,000",MINNESOTA TIMBERWOLVES,v por, 110-109,NA,   
C,"Ezeli, Festus",0,"$3,000",PORTLAND TRAIL BLAZERS,@ min, 109-110,NA,   
