position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Westbrook, Russell^",48.3,"$10,900",OKLAHOMA CITY THUNDER,v cle, 92-115,33:04,   20pt 9rb 11as 1st 1to 1trey 7-15fg 5-6ft
PG,"Thomas, Isaiah^",46.6,"$8,100",BOSTON CELTICS,@ den, 121-101,32:07,   22pt 3rb 12as 2st 1bl 3to 3trey 7-16fg 5-5ft
SG,"Oladipo, Victor^",46.4,"$6,500",ORLANDO MAGIC,v ind, 102-105,41:18,   17pt 7rb 8as 3st 2bl 1to 6-17fg 5-8ft
PG,"Jackson, Reggie^",43.8,"$6,500",DETROIT PISTONS,v nor, 106-111,31:13,   34pt 4rb 4as 1to 4trey 11-20fg 8-8ft
SG,"McCollum, C.J.^",41.7,"$7,300",PORTLAND TRAIL BLAZERS,v uta, 115-111,37:15,   31pt 1rb 3as 1st 2bl 1to 4trey 11-21fg 5-6ft
PG,"Rose, Derrick^",39.4,"$6,900",CHICAGO BULLS,v lal, 126-115,30:49,   24pt 7rb 6as 2to 8-15fg 8-8ft
PG,"Lillard, Damian^",39.3,"$9,600",PORTLAND TRAIL BLAZERS,v uta, 115-111,37:21,   30pt 4rb 5as 3to 4trey 10-21fg 6-9ft
PG,"Clarkson, Jordan^",37.8,"$5,900",LOS ANGELES LAKERS,@ chi, 115-126,36:53,   20pt 9rb 4as 1st 1to 2trey 7-16fg 4-6ft
PG,"Holiday, Jrue",36.9,"$7,800",NEW ORLEANS PELICANS,@ det, 111-106,32:18,   20pt 7rb 9as 5to 6-14fg 8-9ft
PG,"Walker, Kemba^",34.9,"$8,700",CHARLOTTE HORNETS,@ bkn, 104-96,38:48,   28pt 2rb 3as 2st 4to 4trey 11-18fg 2-2ft
SG,"Batum, Nicolas^",34.4,"$6,800",CHARLOTTE HORNETS,@ bkn, 104-96,37:30,   16pt 7rb 8as 1st 4to 3trey 5-10fg 3-3ft
SG,"Ellis, Monta^",33.3,"$6,300",INDIANA PACERS,@ orl, 105-102,38:49,   21pt 4rb 3as 2st 1bl 3to 5trey 8-17fg
SG,"Moore, E'Twaun^",33.3,"$4,300",CHICAGO BULLS,v lal, 126-115,41:21,   24pt 4rb 1as 1st 1bl 1to 4trey 10-14fg
PG,"Lowry, Kyle^",33.3,"$8,800",TORONTO RAPTORS,v mem, 98-85,39:53,   18pt 4rb 7as 1st 2to 2trey 6-13fg 4-5ft
PG,"Mills, Patty",31.1,"$4,400",SAN ANTONIO SPURS,@ pho, 118-111,22:47,   21pt 3rb 5as 1to 6trey 6-13fg 3-4ft
PG,"Hill, George^",30.9,"$6,000",INDIANA PACERS,@ orl, 105-102,34:09,   8pt 7rb 7as 1st 1bl 2-11fg 4-6ft
PG,"Parker, Tony^",30.4,"$5,200",SAN ANTONIO SPURS,@ pho, 118-111,27:19,   22pt 2rb 4as 1trey 8-18fg 5-8ft
PG,"Mack, Shelvin",29.6,"$3,500",UTAH JAZZ,@ por, 111-115,24:29,   16pt 3rb 6as 1bl 1to 1trey 7-11fg 1-2ft
PG,"Williams, Deron^",29.6,"$6,000",DALLAS MAVERICKS,v phi, 129-103,27:27,   15pt 3rb 8as 1to 1trey 4-8fg 6-6ft
SG,"Green, Danny^",29.4,"$4,300",SAN ANTONIO SPURS,@ pho, 118-111,33:55,   11pt 7rb 2as 2st 2bl 1to 1trey 4-5fg 2-4ft
PG,"Mudiay, Emmanuel^",28.5,"$5,500",DENVER NUGGETS,v bos, 101-121,30:35,   18pt 5rb 3as 2st 4to 2trey 5-9fg 6-6ft
SG,"Bryant, Kobe^",28.3,"$6,600",LOS ANGELES LAKERS,@ chi, 115-126,27:27,   22pt 4rb 1as 1trey 8-20fg 5-7ft
SG,"Fournier, Evan^",28.2,"$5,300",ORLANDO MAGIC,v ind, 102-105,34:11,   23pt 1rb 2as 1st 1to 3trey 8-14fg 4-5ft
SG,"Matthews, Wes^",27.6,"$4,100",DALLAS MAVERICKS,v phi, 129-103,27:15,   21pt 3rb 2as 3trey 8-12fg 2-2ft
SG,"DeRozan, DeMar^",27.5,"$8,200",TORONTO RAPTORS,v mem, 98-85,36:04,   21pt 5rb 3as 4to 6-16fg 9-10ft
SG,"Johnson, Joe^",27.1,"$5,200",BROOKLYN NETS,v cha, 96-104,32:38,   17pt 3rb 3as 2st 2to 1trey 4-6fg 8-9ft
