position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Bledsoe, Eric^",62.5,$28,MILWAUKEE BUCKS,@ bkn, 131-121,34:12,   29pt 5rb 7as 5st 2bl 4to 3trey 10-19fg 6-6ft
PG,"Walker, Kemba^",54.5,$42,CHARLOTTE HORNETS,@ uta, 102-111,36:33,   47pt 5rb 3as 3to 4trey 15-28fg 13-15ft
PG,"Dragic, Goran^",50.7,$21,MIAMI HEAT,@ bos, 105-110,38:55,   30pt 1rb 5as 5st 3to 3trey 12-20fg 3-3ft
SG,"Green, Danny^",48.5,$11,TORONTO RAPTORS,v orl, 121-109,27:58,   29pt 5rb 1as 2st 3bl 3to 7trey 11-15fg
SG,"Mitchell, Donovan^",46.1,$33,UTAH JAZZ,v cha, 111-102,36:56,   25pt 3rb 5as 4st 2to 4trey 8-17fg 5-6ft
SG,"Turner, Evan",43.2,$10,PORTLAND TRAIL BLAZERS,@ min, 132-122,24:56,   13pt 11rb 10as 1st 1to 1trey 5-5fg 2-2ft
SG,"Booker, Devin^",42.1,$47,PHOENIX SUNS,v cle, 122-113,35:05,   25pt 3rb 13as 6to 2trey 8-18fg 7-7ft
PG,"Lowry, Kyle^",41.7,$27,TORONTO RAPTORS,v orl, 121-109,26:55,   12pt 6rb 7as 3st 1bl 3trey 3-6fg 3-4ft
PG,"Russell, D'Angelo^",41.5,$38,BROOKLYN NETS,v mil, 121-131,35:22,   28pt 10rb 3as 1st 6to 4trey 9-27fg 6-6ft
PG,"Jones, Tyus^",39.6,$18,MINNESOTA TIMBERWOLVES,v por, 122-132,33:16,   14pt 3rb 10as 3st 2to 7-12fg
PG,"Irving, Kyrie^",39.1,$44,BOSTON CELTICS,v mia, 110-105,32:32,   25pt 8rb 3as 2st 6to 5trey 7-19fg 6-6ft
PG,"Simmons, Ben^",38.9,$42,PHILADELPHIA 76ERS,@ dal, 102-122,31:31,   17pt 7rb 5as 3bl 3to 5-15fg 7-11ft
PG,"Rubio, Ricky^",38.9,$19,UTAH JAZZ,v cha, 111-102,29:58,   20pt 2rb 13as 3to 1trey 5-13fg 9-9ft
SG,"Ellington, Wayne^",36.8,$10,DETROIT PISTONS,@ ind, 102-111,37:59,   26pt 4rb 2as 1bl 4trey 10-19fg 2-4ft
SG,"Wiggins, Andrew^",36.4,$25,MINNESOTA TIMBERWOLVES,v por, 122-132,33:54,   21pt 7rb 4as 1st 2to 1trey 7-18fg 6-6ft
PG,"Clarkson, Jordan",34.7,$16,CLEVELAND CAVALIERS,@ pho, 113-122,32:34,   20pt 6rb 3as 1st 1trey 8-16fg 3-3ft
PG,"Lillard, Damian^",34,$46,PORTLAND TRAIL BLAZERS,@ min, 132-122,34:01,   15pt 5rb 12as 5to 3trey 6-17fg 0-1ft
PG,"Wade, Dwyane",33.5,$22,MIAMI HEAT,@ bos, 105-110,29:27,   17pt 5rb 7as 1st 3to 8-17fg 1-1ft
SG,"Redick, J.J.^",32.5,$19,PHILADELPHIA 76ERS,@ dal, 102-122,28:31,   26pt 5rb 1as 1st 4to 4trey 8-17fg 6-6ft
PG,"Hill, George",30.9,$10,MILWAUKEE BUCKS,@ bkn, 131-121,27:06,   22pt 2rb 3as 1st 1to 8-11fg 6-7ft
SG,"Lamb, Jeremy",30.8,$22,CHARLOTTE HORNETS,@ uta, 102-111,30:30,   23pt 4rb 1st 1trey 9-16fg 4-4ft
SG,"Fournier, Evan^",30.8,$21,ORLANDO MAGIC,@ tor, 109-121,30:18,   21pt 4rb 4as 1to 1trey 8-16fg 4-4ft
PG,"Burke, Trey",30.7,$10,DALLAS MAVERICKS,v phi, 122-102,29:05,   16pt 6rb 5as 6-14fg 4-6ft
PG,"VanVleet, Fred",30.5,$19,TORONTO RAPTORS,v orl, 121-109,26:38,   10pt 7as 2st 2bl 2to 2trey 3-6fg 2-2ft
PG,"Jackson, Reggie^",29.2,$18,DETROIT PISTONS,@ ind, 102-111,30:02,   22pt 6rb 4as 6to 1trey 8-19fg 5-5ft
PG,"McConnell, T.J.",29.1,$10,PHILADELPHIA 76ERS,@ dal, 102-122,16:57,   15pt 3rb 1as 1st 2bl 1trey 7-10fg
PG,"Sexton, Collin^",28.3,$20,CLEVELAND CAVALIERS,@ pho, 113-122,38:31,   21pt 4rb 3as 2to 1trey 9-23fg 2-2ft
PG,"Harrison, Shaquille^",27.5,$19,CHICAGO BULLS,@ nyk, 105-113,29:37,   6pt 10rb 5as 1st 1to 3-11fg
PG,"Mudiay, Emmanuel^",26,$18,NEW YORK KNICKS,v chi, 113-105,36:09,   17pt 5rb 4as 3to 2trey 7-21fg 1-2ft
PG,"Carter-Williams, Michael",26,$11,ORLANDO MAGIC,@ tor, 109-121,25:24,   8pt 5rb 6as 1st 4-10fg
SG,"Brown, Sterling^",25.5,$10,MILWAUKEE BUCKS,@ bkn, 131-121,35:46,   14pt 5rb 3as 1st 2to 1trey 6-11fg 1-1ft
PG,"Crawford, Jamal",24.5,$10,PHOENIX SUNS,v cle, 122-113,30:12,   19pt 5as 2to 3trey 7-10fg 2-2ft
SG,"Evans, Tyreke^",24.1,$10,INDIANA PACERS,v det, 111-102,26:54,   13pt 3rb 3as 1st 1bl 3to 4trey 4-10fg 1-2ft
PG,"Brunson, Jalen^",23.5,$18,DALLAS MAVERICKS,v phi, 122-102,18:55,   13pt 7as 1trey 6-11fg
PG,"Frazier, Tim",23.1,$10,MILWAUKEE BUCKS,@ bkn, 131-121,22:17,   7pt 3rb 7as 1st 1to 2trey 2-4fg 1-2ft
SG,"Bayless, Jerryd",22.4,$10,MINNESOTA TIMBERWOLVES,v por, 122-132,14:44,   10pt 2rb 6as 1st 2to 4-6fg 2-2ft
PG,"Curry, Seth",21.9,$10,PORTLAND TRAIL BLAZERS,@ min, 132-122,21:51,   19pt 2rb 1as 1to 5trey 7-14fg
SG,"Smart, Marcus^",20.7,$20,BOSTON CELTICS,v mia, 110-105,26:21,   16pt 1rb 1as 1st 1to 4trey 6-11fg
SG,"Luwawu, Timothe^",20.6,$11,CHICAGO BULLS,@ nyk, 105-113,26:25,   10pt 3rb 2as 2st 2to 1trey 3-10fg 3-3ft
