team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,37,93,14,40,8,13,11,50,17,0,10,9,16
CHICAGO BULLS,240,30,83,7,22,19,29,6,44,14,7,4,7,18
CHARLOTTE HORNETS,240,45,78,22,44,12,17,5,32,35,8,7,10,13
CLEVELAND CAVALIERS,240,40,89,11,30,6,8,14,27,24,3,2,14,18
PHOENIX SUNS,240,38,88,13,35,20,28,5,33,21,13,6,14,22
DALLAS MAVERICKS,240,41,91,16,40,22,27,18,46,28,6,6,21,24
MEMPHIS GRIZZLIES,240,33,69,10,24,17,21,7,36,19,4,6,21,24
DETROIT PISTONS,240,35,88,10,34,20,28,14,26,16,13,4,9,21
PORTLAND TRAIL BLAZERS,240,37,90,11,37,19,22,11,34,18,8,10,12,14
LOS ANGELES LAKERS,240,40,94,10,29,11,17,17,34,29,6,6,17,19
PHILADELPHIA 76ERS,240,40,98,5,25,14,16,11,35,22,11,0,14,19
MIAMI HEAT,240,46,87,13,27,17,23,7,37,29,6,10,14,18
TORONTO RAPTORS,240,46,88,16,37,12,17,7,47,24,10,5,18,17
MINNESOTA TIMBERWOLVES,240,38,91,13,42,11,14,5,30,26,10,9,12,16
GOLDEN STATE WARRIORS,240,43,89,12,30,14,21,11,47,25,8,3,14,17
NEW ORLEANS PELICANS,240,44,99,9,33,6,10,7,35,29,9,1,10,15
HOUSTON ROCKETS,240,38,88,18,53,17,20,9,33,18,7,7,11,21
OKLAHOMA CITY THUNDER,240,40,96,16,41,16,20,18,38,20,5,2,12,19
DENVER NUGGETS,240,41,88,12,25,14,22,3,28,24,9,3,7,28
UTAH JAZZ,240,41,78,10,27,26,34,9,39,24,5,5,15,21
BOSTON CELTICS,240,45,99,15,44,11,23,13,37,27,10,3,5,17
WASHINGTON WIZARDS,240,41,97,14,39,14,18,13,45,28,2,3,15,18
