number,name,position,height,weight,birth_date,experience,college,team
8,Ronnie Brewer,SF,6-7,220,"March 20, 1985",6,University of Arkansas,OKLAHOMA CITY THUNDER
4,Nick Collison,C,6-10,255,"October 26, 1980",8,University of Kansas,OKLAHOMA CITY THUNDER
35,Kevin Durant,SF,6-9,240,"September 29, 1988",5,University of Texas at Austin,OKLAHOMA CITY THUNDER
6,Derek Fisher,SG,6-1,200,"August 9, 1974",16,University of Arkansas at Little Rock,OKLAHOMA CITY THUNDER
9,Serge Ibaka,PF,6-10,235,"September 18, 1989",3,,OKLAHOMA CITY THUNDER
15,Reggie Jackson,PG,6-3,208,"April 16, 1990",1,Boston College,OKLAHOMA CITY THUNDER
3,Perry Jones,SF,6-11,235,"September 24, 1991",R,Baylor University,OKLAHOMA CITY THUNDER
11,Jeremy Lamb,SF,6-5,185,"May 30, 1992",R,University of Connecticut,OKLAHOMA CITY THUNDER
25,DeAndre Liggins,SG,6-6,209,"March 31, 1988",1,University of Kentucky,OKLAHOMA CITY THUNDER
23,Kevin Martin,SG,6-7,199,"February 1, 1983",8,Western Carolina University,OKLAHOMA CITY THUNDER
6,Eric Maynor,PG,6-3,175,"June 11, 1987",3,Virginia Commonwealth University,OKLAHOMA CITY THUNDER
33,Daniel Orton,C,6-10,255,"August 6, 1990",1,University of Kentucky,OKLAHOMA CITY THUNDER
5,Kendrick Perkins,C,6-10,270,"November 10, 1984",9,,OKLAHOMA CITY THUNDER
2,Thabo Sefolosha,SG,6-7,220,"May 2, 1984",6,,OKLAHOMA CITY THUNDER
34,Hasheem Thabeet,C,7-3,263,"February 16, 1987",3,University of Connecticut,OKLAHOMA CITY THUNDER
0,Russell Westbrook,PG,6-3,200,"November 12, 1988",4,"University of California, Los Angeles",OKLAHOMA CITY THUNDER
13,Corey Brewer,SF,6-9,186,"March 5, 1986",5,University of Florida,DENVER NUGGETS
21,Wilson Chandler,PF,6-9,225,"May 10, 1987",5,DePaul University,DENVER NUGGETS
35,Kenneth Faried,PF,6-8,220,"November 19, 1989",1,Morehead State University,DENVER NUGGETS
94,Evan Fournier,SG,6-7,205,"October 29, 1992",R,,DENVER NUGGETS
8,Danilo Gallinari,SF,6-10,225,"August 8, 1988",4,,DENVER NUGGETS
1,Jordan Hamilton,SF,6-7,220,"October 6, 1990",1,University of Texas at Austin,DENVER NUGGETS
9,Andre Iguodala,SG,6-6,215,"January 28, 1984",8,University of Arizona,DENVER NUGGETS
41,Kosta Koufos,C,7-0,245,"February 24, 1989",4,Ohio State University,DENVER NUGGETS
3,Ty Lawson,PG,5-11,195,"November 3, 1987",3,University of North Carolina,DENVER NUGGETS
34,JaVale McGee,C,7-0,270,"January 19, 1988",4,"University of Nevada, Reno",DENVER NUGGETS
24,Andre Miller,PG,6-3,200,"March 19, 1976",13,University of Utah,DENVER NUGGETS
30,Quincy Miller,PF,6-9,210,"November 18, 1992",R,Baylor University,DENVER NUGGETS
25,Timofey Mozgov,C,7-1,275,"July 16, 1986",2,,DENVER NUGGETS
15,Anthony Randolph,PF,6-10,205,"July 15, 1989",4,Louisiana State University,DENVER NUGGETS
10,Julyan Stone,PG,6-6,200,"December 7, 1988",1,University of Texas at El Paso,DENVER NUGGETS
10,Alec Burks,SG,6-6,214,"July 20, 1991",1,University of Colorado,UTAH JAZZ
3,DeMarre Carroll,SF,6-8,215,"July 27, 1986",3,"Vanderbilt University, University of Missouri",UTAH JAZZ
40,Jeremy Evans,PF,6-9,200,"October 24, 1987",2,Western Kentucky University,UTAH JAZZ
15,Derrick Favors,PF,6-10,265,"July 15, 1991",2,Georgia Institute of Technology,UTAH JAZZ
8,Randy Foye,SG,6-4,213,"September 24, 1983",6,Villanova University,UTAH JAZZ
20,Gordon Hayward,SF,6-8,225,"March 23, 1990",2,Butler University,UTAH JAZZ
25,Al Jefferson,C,6-10,289,"January 4, 1985",8,,UTAH JAZZ
0,Enes Kanter,C,6-11,250,"May 20, 1992",1,,UTAH JAZZ
24,Paul Millsap,PF,6-8,246,"February 10, 1985",6,Louisiana Tech University,UTAH JAZZ
55,Kevin Murphy,SG,6-5,185,"March 6, 1990",R,Tennessee Technological University,UTAH JAZZ
6,Jamaal Tinsley,PG,6-3,195,"February 28, 1978",9,Iowa State University,UTAH JAZZ
11,Earl Watson,PG,6-1,195,"June 12, 1979",11,"University of California, Los Angeles",UTAH JAZZ
2,Marvin Williams,SF,6-9,237,"June 19, 1986",7,University of North Carolina,UTAH JAZZ
5,Mo Williams,PG,6-1,198,"December 19, 1982",9,University of Alabama,UTAH JAZZ
