slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
duranke01,Kevin Durant,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,WIN,2532,14,27,2,10,11,12,1,4,2,1,2,0,2,32.2
ginobma01,Manu Ginobili,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,WIN,2513,10,18,4,9,9,10,1,5,6,4,0,6,4,26.8
randoza01,Zach Randolph,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,LOSS,2648,10,17,0,0,6,7,2,9,6,0,1,2,3,23.5
wadedw01,Dwyane Wade,MIAMI HEAT,HOME,PHILADELPHIA 76ERS,WIN,2511,10,25,1,5,5,6,3,8,7,1,1,2,0,21.2
iguodan01,Andre Iguodala,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,LOSS,2113,10,14,0,2,2,4,1,9,4,0,0,0,3,20.4
parketo01,Tony Parker,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,WIN,2632,9,20,0,2,6,9,0,2,9,1,1,1,4,18.4
brandel01,Elton Brand,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,LOSS,2266,10,17,0,0,2,2,1,5,2,1,1,0,6,17.0
boshch01,Chris Bosh,MIAMI HEAT,HOME,PHILADELPHIA 76ERS,WIN,2431,7,16,0,1,8,10,5,6,0,1,0,2,2,16.3
youngsa01,Sam Young,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,LOSS,1938,7,12,1,2,3,3,2,4,0,2,1,1,2,15.9
chalmma01,Mario Chalmers,MIAMI HEAT,HOME,PHILADELPHIA 76ERS,WIN,1840,7,14,6,12,0,0,0,2,2,1,0,0,1,15.6
jamesle01,LeBron James,MIAMI HEAT,HOME,PHILADELPHIA 76ERS,WIN,2500,5,13,2,5,4,5,3,7,8,1,0,3,2,15.5
conlemi01,Mike Conley,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,LOSS,2563,9,20,0,2,2,2,1,4,5,2,1,1,4,15.1
martike01,Kenyon Martin,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1992,7,14,0,0,0,0,2,8,2,2,0,0,4,12.6
holidjr01,Jrue Holiday,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,LOSS,2243,3,9,0,1,4,5,1,4,8,2,1,3,1,11.3
hardeja01,James Harden,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,WIN,1945,2,7,2,6,6,8,0,7,3,2,1,2,2,11.2
duncati01,Tim Duncan,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,WIN,2387,5,13,0,0,3,4,3,9,3,1,1,3,0,11.1
lawsoty01,Ty Lawson,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1825,4,8,2,3,3,5,1,2,4,0,0,1,1,10.9
feltora01,Raymond Felton,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1603,4,9,1,3,4,4,0,3,4,4,0,5,1,10.6
youngth01,Thaddeus Young,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,LOSS,1693,6,8,0,0,1,3,2,3,1,0,0,1,2,10.2
sefolth01,Thabo Sefolosha,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,WIN,1189,2,6,0,1,4,4,3,5,0,2,0,0,1,9.8
hillge01,George Hill,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,WIN,1823,3,7,0,1,6,6,1,4,2,0,0,2,1,9.2
