team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,33,77,6,21,19,24,8,37,22,2,1,11,11
DETROIT PISTONS,240,44,90,11,26,8,10,6,38,28,9,6,4,20
UTAH JAZZ,240,32,73,10,22,17,21,8,27,19,5,2,15,19
GOLDEN STATE WARRIORS,240,38,78,8,18,22,26,7,30,25,11,3,10,17
PHOENIX SUNS,240,46,92,8,15,17,24,14,35,20,10,5,14,16
HOUSTON ROCKETS,240,41,87,10,34,10,12,4,32,28,7,5,18,21
BROOKLYN NETS,240,46,75,6,12,25,31,3,32,21,4,4,8,18
INDIANA PACERS,240,45,90,8,23,13,18,11,28,22,3,2,9,23
PORTLAND TRAIL BLAZERS,240,33,76,6,22,14,15,5,39,15,6,3,17,17
MEMPHIS GRIZZLIES,240,37,89,11,18,12,16,11,34,21,10,1,10,16
